file_names,num_rows,num_cols
/user/bigdata/nyc_open_data/2p64-jbjs.json,35,15
/user/bigdata/nyc_open_data/2pmj-y4p4.json,9200,40
/user/bigdata/nyc_open_data/2pmt-skyq.json,102,5
/user/bigdata/nyc_open_data/2q48-ip9a.json,221,21
/user/bigdata/nyc_open_data/2r9r-m6j4.json,100,6
/user/bigdata/nyc_open_data/2rd2-9uwy.json,83,4
/user/bigdata/nyc_open_data/2sps-j9st.json,49649,9
/user/bigdata/nyc_open_data/2t2c-qih9.json,8778,13
/user/bigdata/nyc_open_data/2t32-hbca.json,65,46
/user/bigdata/nyc_open_data/2uk5-v8da.json,84,15
/user/bigdata/nyc_open_data/2v9c-2k7f.json,81423,10
/user/bigdata/nyc_open_data/2vha-97jm.json,4290,11
/user/bigdata/nyc_open_data/2x8v-d8nh.json,1743,32
/user/bigdata/nyc_open_data/2xh6-psuq.json,8185,14
/user/bigdata/nyc_open_data/2xir-kwzz.json,20109,6
/user/bigdata/nyc_open_data/2zbg-i8fx.json,26,69
/user/bigdata/nyc_open_data/32y8-s55c.json,1169,4
/user/bigdata/nyc_open_data/32yu-maz2.json,49,4
/user/bigdata/nyc_open_data/33c5-b922.json,300,11
/user/bigdata/nyc_open_data/33db-aeds.json,115,6
/user/bigdata/nyc_open_data/34zf-iv73.json,282,7
/user/bigdata/nyc_open_data/35f6-8qd2.json,8,15
/user/bigdata/nyc_open_data/35fd-ehz6.json,22,7
/user/bigdata/nyc_open_data/35sw-rdxj.json,80,18
/user/bigdata/nyc_open_data/366m-74zg.json,9,4
/user/bigdata/nyc_open_data/36hn-wea6.json,20,18
/user/bigdata/nyc_open_data/37cg-gxjd.json,4336,6
/user/bigdata/nyc_open_data/37fm-7uaa.json,2,17
/user/bigdata/nyc_open_data/37it-gmcp.json,51,31
/user/bigdata/nyc_open_data/38ib-pjw5.json,46,22
/user/bigdata/nyc_open_data/3955-c36a.json,42,3
/user/bigdata/nyc_open_data/39g5-gbp3.json,3769,31
/user/bigdata/nyc_open_data/39pe-uzy3.json,6,4
/user/bigdata/nyc_open_data/39qw-754y.json,1274,13
/user/bigdata/nyc_open_data/3av7-txd8.json,60,3
/user/bigdata/nyc_open_data/3bpc-wa5v.json,5,13
/user/bigdata/nyc_open_data/3btx-p4av.json,2631,45
/user/bigdata/nyc_open_data/3cn8-i54i.json,72,16
/user/bigdata/nyc_open_data/3f5y-5web.json,55,3
/user/bigdata/nyc_open_data/3gkd-ddzn.json,12,17
/user/bigdata/nyc_open_data/3h2n-5cm9.json,1952965,18
/user/bigdata/nyc_open_data/3kav-a6u5.json,3591,17
/user/bigdata/nyc_open_data/3kcn-nsb5.json,168,15
/user/bigdata/nyc_open_data/3khw-qi8f.json,35865,38
/user/bigdata/nyc_open_data/3mim-bd27.json,654,21
/user/bigdata/nyc_open_data/3miu-myq2.json,435,45
/user/bigdata/nyc_open_data/3mji-gpg5.json,60,3
/user/bigdata/nyc_open_data/3mrr-8h5c.json,33461,16
/user/bigdata/nyc_open_data/3nja-bsch.json,43,22
/user/bigdata/nyc_open_data/3nw7-5vkw.json,140,15
/user/bigdata/nyc_open_data/3pge-73vq.json,2240,16
/user/bigdata/nyc_open_data/3pzk-fyqp.json,51,2
/user/bigdata/nyc_open_data/3qfc-4tta.json,69,70
/user/bigdata/nyc_open_data/3qty-g4aq.json,24,6
/user/bigdata/nyc_open_data/3rfa-3xsf.json,1783133,52
/user/bigdata/nyc_open_data/3spy-rjpw.json,256,17
/user/bigdata/nyc_open_data/3tfu-x2qk.json,116731,16
/user/bigdata/nyc_open_data/3ups-txji.json,323,8
/user/bigdata/nyc_open_data/3vvi-fwjs.json,11,4
/user/bigdata/nyc_open_data/3wxk-qa8q.json,1526,7
/user/bigdata/nyc_open_data/42et-jh9v.json,422,17
/user/bigdata/nyc_open_data/432v-a7hc.json,5,23
/user/bigdata/nyc_open_data/436j-ja87.json,38076,17
/user/bigdata/nyc_open_data/43ab-v68i.json,72,57
/user/bigdata/nyc_open_data/43nn-pn8j.json,376013,18
/user/bigdata/nyc_open_data/43qc-8vv8.json,1835,16
/user/bigdata/nyc_open_data/46g3-savk.json,561699,7
/user/bigdata/nyc_open_data/46m8-77gv.json,506,11
/user/bigdata/nyc_open_data/46vt-ugs9.json,20,7
/user/bigdata/nyc_open_data/478a-yykk.json,5413,7
/user/bigdata/nyc_open_data/483x-fy9e.json,8,4
